country,indicator,rows,missing_values,missing_share
CHN,EXPORTS_PERCENT_GDP,66,1,0.015151515151515152
CHN,FDI_NET_INFLOWS,66,20,0.30303030303030304
CHN,GDP_GROWTH,66,2,0.030303030303030304
CHN,GDP_PER_CAPITA,66,1,0.015151515151515152
CHN,HIGH_TECH_EXPORTS,66,48,0.7272727272727273
CHN,IMPORTS_PERCENT_GDP,66,1,0.015151515151515152
CHN,INFLATION,66,28,0.42424242424242425
CHN,MILITARY_EXPENDITURE,66,30,0.45454545454545453
CHN,UNEMPLOYMENT,66,31,0.4696969696969697
DEU,EXPORTS_PERCENT_GDP,66,11,0.16666666666666666
DEU,FDI_NET_INFLOWS,66,12,0.18181818181818182
DEU,GDP_GROWTH,66,2,0.030303030303030304
DEU,GDP_PER_CAPITA,66,1,0.015151515151515152
DEU,HIGH_TECH_EXPORTS,66,48,0.7272727272727273
DEU,IMPORTS_PERCENT_GDP,66,11,0.16666666666666666
DEU,INFLATION,66,1,0.015151515151515152
DEU,MILITARY_EXPENDITURE,66,1,0.015151515151515152
DEU,UNEMPLOYMENT,66,31,0.4696969696969697
IDN,EXPORTS_PERCENT_GDP,66,1,0.015151515151515152
IDN,FDI_NET_INFLOWS,66,11,0.16666666666666666
IDN,GDP_GROWTH,66,2,0.030303030303030304
IDN,GDP_PER_CAPITA,66,8,0.12121212121212122
IDN,HIGH_TECH_EXPORTS,66,51,0.7727272727272727
IDN,IMPORTS_PERCENT_GDP,66,1,0.015151515151515152
IDN,INFLATION,66,1,0.015151515151515152
IDN,MILITARY_EXPENDITURE,66,15,0.22727272727272727
IDN,UNEMPLOYMENT,66,31,0.4696969696969697
IND,EXPORTS_PERCENT_GDP,66,1,0.015151515151515152
IND,FDI_NET_INFLOWS,66,11,0.16666666666666666
IND,GDP_GROWTH,66,2,0.030303030303030304
IND,GDP_PER_CAPITA,66,1,0.015151515151515152
IND,HIGH_TECH_EXPORTS,66,50,0.7575757575757576
IND,IMPORTS_PERCENT_GDP,66,1,0.015151515151515152
IND,INFLATION,66,1,0.015151515151515152
IND,MILITARY_EXPENDITURE,66,1,0.015151515151515152
IND,UNEMPLOYMENT,66,31,0.4696969696969697
JPN,EXPORTS_PERCENT_GDP,66,11,0.16666666666666666
JPN,FDI_NET_INFLOWS,66,11,0.16666666666666666
JPN,GDP_GROWTH,66,2,0.030303030303030304
JPN,GDP_PER_CAPITA,66,1,0.015151515151515152
JPN,HIGH_TECH_EXPORTS,66,48,0.7272727272727273
JPN,IMPORTS_PERCENT_GDP,66,11,0.16666666666666666
JPN,INFLATION,66,1,0.015151515151515152
JPN,MILITARY_EXPENDITURE,66,1,0.015151515151515152
JPN,UNEMPLOYMENT,66,31,0.4696969696969697
USA,EXPORTS_PERCENT_GDP,66,11,0.16666666666666666
USA,FDI_NET_INFLOWS,66,11,0.16666666666666666
USA,GDP_GROWTH,66,2,0.030303030303030304
USA,GDP_PER_CAPITA,66,1,0.015151515151515152
USA,HIGH_TECH_EXPORTS,66,48,0.7272727272727273
USA,IMPORTS_PERCENT_GDP,66,11,0.16666666666666666
USA,INFLATION,66,1,0.015151515151515152
USA,MILITARY_EXPENDITURE,66,1,0.015151515151515152
USA,UNEMPLOYMENT,66,31,0.4696969696969697
